image_path,emotion,valence,arousal,color,lighting,composition,situation
/kaggle/working/Images/Art Informel/0017754_AsgerJorn-TheTimidProudOne.jpg,Calm,Positive,Low,"Cool and muted tones, low saturation, subtle contrast.","Diffuse light, gentle transitions, adding softness.","Asymmetrical and dynamic, drawing focus to the center left.","The painting features an abstract form resembling a human profile. Earthy and muted colors dominate, with textured layers creating depth. Swirling brushstrokes convey a sense of movement and mystery, set against a contrasting backdrop."
/kaggle/working/Images/Art Informel/0017856_CharlottePosenenske-Untitled.jpg,Frustrated,Negative,High,"Predominantly cool tones with red accents, moderately saturated, creating vibrant contrast.","Minimal light and shadow effects, focusing on color contrast rather than depth.","Dynamic with intersecting lines, leading to a sense of chaos and movement.","The image features bold, sweeping strokes of red, blue, and black against a stark white background. The energetic lines intersect dynamically, evoking a sense of movement and intensity. The minimalistic composition heightens the vibrancy of the colors."
/kaggle/working/Images/Art Informel/0018341_AlfredFreddyKrupa-DravaExpressionNo.1.jpg,Frustrated,Negative,High,"Dominated by deep black tones against a stark white canvas, offering high contrast with cool undertones.","Light source is unobtrusive, with sharp contrast between light and dark elements.","The arrangement is dynamic, lacking symmetry and centralized focus, promoting a sense of chaos.","The image features abstract black brushstrokes on a textured white background, forming chaotic and interwoven patterns. The strokes are bold, creating a sense of movement and dynamic intensity. The composition appears spontaneous and expressive."
/kaggle/working/Images/Art Informel/0018379_RogerBissière-CompositioninBlue.jpg,Excited,Positive,High,"Warm tones dominate with earthy greens and browns contrasted by cool blues, creating a harmonious blend.","Light is diffused with subtle contrasts, softening the transitions between hues.","The arrangement is dynamic, with an intricate balance of shapes filling the canvas.","The painting presents a vivid tapestry of interlocking colors and forms, creating a rich mosaic-like effect. The varied palette of greens, browns, and blues merges with occasional lighter tones, forming an abstract, rhythmic pattern across the canvas."
/kaggle/working/Images/Art Informel/0018403_AntoniTapies-TheSieve.jpg,Calm,Positive,Low,"Warm, muted tones with low saturation.","Soft contrast, evenly lit.",Central focus with symmetrical elements.,"The image features a large circular pattern centered on a cream-colored canvas. Subtle textures and a grid-like design dominate the circle. Minimalist lines and shapes are drawn in earthy tones, creating an abstract, thoughtful scene."
/kaggle/working/Images/Art Informel/0018419_LucianoBartolini-Untitled.jpg,Excited,Positive,High,"Warm, saturated tones with high contrast between intense reds and yellows.","No defined light source, balanced light-dark interplay.","Dynamic arrangement, central focus with an off-center balance.","A vibrant abstract painting with dynamic splashes of red, yellow, and orange. The central area is a fusion of colors, creating a sense of intense movement. Complex textures and bold strokes add depth to the composition."
/kaggle/working/Images/Art Informel/0018509_CarlBuchheister-CompositionKolvil.jpg,Sad,Negative,Low,"Cool tones dominate, with low saturation enhancing subtlety.","Minimal light source, creating soft contrasts that add mystery.","Dynamic and asymmetrical, guiding the eye through layered textures.","The image presents an abstract scene, enveloped in shadowy hues and textures. Flecks of light peek through, creating mysterious patterns. The palette consists of muted colors, evoking a sense of depth and intrigue."
/kaggle/working/Images/Art Nouveau (Modern)/0006005_MikhailVrubel-Peacock.jpg,Contentment,Positive,Low,"Warm tones with high saturation, crafting an opulent, inviting atmosphere.","Diffuse light with soft contrast, gently highlighting textures.","Central focus with dynamic, swirling elements creating movement.","The image features a stylized peacock amid abstract, swirling elements. Earthy tones of brown and golden hues dominate the scene, mingling with textured backgrounds that include circular and leaf-like shapes, creating a sense of organic richness and depth."
/kaggle/working/Images/Art Nouveau (Modern)/0006020_GerdaWegener-TheOperaHouseUndertheSnow.jpg,Contentment,Positive,Low,"Warm tones contrast cool backgrounds, with moderate saturation and subtle contrasts.","Soft light from above casts gentle shadows, offering depth.","Central focus on the woman, dynamic and balanced arrangement.","The image portrays a stylish woman in a richly detailed, ornate dress, braving a snowy setting. Her posture is dynamic and graceful, leaning against an elegant streetlamp. Snowflakes gently fall around her, enhancing a wintry, nostalgic atmosphere."
/kaggle/working/Images/Art Nouveau (Modern)/0006062_AlbertLynch-JoanofArc.jpg,Calm,Positive,Low,"Muted tones dominate, with a mix of cool greys and soft whites against warm skin tones, creating contrast.","Soft lighting enhances features, with subtle shading providing depth and form to her attire and expression.","Central focus with symmetrical framing, emphasizing the solitary figure and her commanding presence.","The image portrays a resolute warrior adorned in ornate armor, standing amidst a field of lilies. A grand cathedral forms the backdrop, and she firmly grasps a flag, exuding a sense of determination and reverence."
/kaggle/working/Images/Art Nouveau (Modern)/0006095_RaphaelKirchner-Couplesbetweenredborders.jpg,Calm,Positive,Low,"Soft, muted tones contrast with the vivid red borders, balancing warmth and subtlety.","Soft lighting prevails, highlighting the detailed costumes while creating gentle shadows.","Each scene is dynamically framed within ovals, focusing the viewer's attention on the central figures.","The image showcases six vintage illustrations of elegantly dressed couples in different scenarios. Each panel is encased in a vibrant red border, displaying intimate and social interactions with an emphasis on fashion and poise."
"/kaggle/working/Images/Art Nouveau (Modern)/0006102_AntoniGaudí-ElsJardinsDeCanArtigas,LaPoblaDeLillet.jpg",Calm,Positive,Low,"The scene showcases warm earthy tones with vibrant greens, offering a balance between saturated colors and natural hues.","Sunlight filters through, creating a soft interplay of light and shadow, enhancing depth.","The composition is symmetrical, with the archway centrally aligning the viewer's focus.","The image displays a rustic, stone archway with integrated planters, casting dappled shadows on a sunlit path. Verdant foliage surrounds, creating a harmonious blend of natural and constructed elements. The scene exudes a tranquil, inviting ambiance."
/kaggle/working/Images/Art Nouveau (Modern)/0006110_CharlesRennieMackintosh-InFairyland.jpg,Calm,Positive,Low,A mix of cool and warm tones with moderate saturation and subtle contrast.,"Soft, diffused light creates gentle shadows, enhancing the mystical quality.","Central focus on the figure, surrounded by a dynamic, swirling environment.","The image features a tall, ethereal figure amidst a fantasy-like garden. The flowers appear whimsical, with elongated stems and vibrant colors, enveloping the central figure who exudes a sense of mystery and serenity."
/kaggle/working/Images/Art Nouveau (Modern)/0006112_JanToorop-Coverfor'Psyche'byLouisCouperus.jpg,Calm,Positive,Low,"Warm tones dominate, with moderate contrast creating a harmonious feel.","Soft, subtle contrast enhances the smoothness and flow.","Dynamic and swirling, guiding the eye smoothly across the design.","The image features an intricate, flowing design in an Art Nouveau style on a book cover. A graceful, winged figure is entwined with a horse, surrounded by stylized floral patterns and swirling lines."
/kaggle/working/Images/Art Nouveau (Modern)/0006182_ElisabethSonrel-СhatelaineetSesDames.jpg,Calm,Positive,Low,"Cool tones dominate, with subtle warm contrasts; low saturation with gentle contrast.","Soft light source; gentle contrasts between light and shadow, creating a calm atmosphere.","Central focus with harmonious arrangement, creating a balanced and serene scene.","The image shows three women in historical attire seated together in a dimly lit room. The clothing is richly detailed, with flowing fabrics and ornate headpieces. Their expressions are contemplative, suggesting a shared moment of reflection."
/kaggle/working/Images/Art Nouveau (Modern)/0006206_HélèneGuinepied-Man'sfigure.jpg,Sad,Negative,Low,"Warm and cool tones intertwine, creating a balance of muted earthy colors with high contrast, enhancing the somber mood.","Lighting highlights the left side of the face, with a gentle, almost soft contrast between light and shadow, adding to the drama.","The image employs a dynamic and asymmetrical composition, focusing on the figure's profile, directing the viewer’s gaze along the contours.","The painting captures a side profile of a contemplative figure. Earthy tones blend into the textured background, while deep shadows accentuate the figure's features. The composition creates a sense of introspection and depth, drawing attention to the subject’s expression."
/kaggle/working/Images/Art Nouveau (Modern)/0006213_TheophileSteinlen-BonGout.jpg,Contentment,Positive,Low,"Warm tones dominate, particularly reds, amidst cooler grays of the surroundings.","Soft lighting, minimal contrast; focus stays on the figures.","Dynamic, with a strong diagonal between the couple and the marching soldiers.","A soldier and a woman converse intimately beside a brick wall. The soldier's bright red uniform contrasts with the subdued street scene in the background, where a group of soldiers march away under streetlights."
/kaggle/working/Images/Art Nouveau (Modern)/0006352_RaphaelKirchner-DeadlySins.jpg,Contentment,Positive,Low,"Warm tones dominate, with soft pastels offering a muted, gentle palette.","Soft light enhances gentle contrasts, emphasizing subtlety and grace.","Dynamic with a central focus on the figure, lending an engaging visual flow.","The image depicts a nude figure in pink heeled boots, tilting her head back to drink from a small cup. Her hair is reddish-brown, and there's a disembodied clown face observing her with a surprised expression."
/kaggle/working/Images/Art Nouveau (Modern)/0006429_FerdinandHodler-BorderwomanfigureinblueGwand.jpg,Calm,Positive,Low,"The palette features cool tones with blues and greens, contrasted by warm skin tones, creating a balanced and calming effect.","Soft lighting highlights the figure, with subtle shadows adding depth and emphasizing the form without harsh contrasts.","The composition is dynamic, with the figure slightly off-center, guiding the viewer's eye along the graceful lines of the pose.","The image portrays a figure in a long, flowing dress, leaning gently to one side with a serene expression. The background is plain, enhancing the focus on the subject, whose elegant pose conveys grace and poise."
/kaggle/working/Images/Art Nouveau (Modern)/0006445_HenrideToulouse-Lautrec-ReinedeJoie.jpg,Excited,Positive,High,"Warm tones dominate, with high saturation and rich contrast, creating an inviting ambiance.","Soft lighting with subtle shadows, emphasizing the warm, inviting mood without harsh contrasts.","Dynamic and lively, with a central focus on the intertwined figures, drawing the viewer's eye to their expressions.","The image depicts a vibrant scene with two figures immersed in a moment of intimacy. The background features lively, warm colors and bold outlines that accentuate the central subjects, creating a dynamic and engaging atmosphere."
/kaggle/working/Images/Art Nouveau (Modern)/0006501_AlexandreBenois-Italiancomedy.jpg,Contentment,Positive,Low,"The use of warm, muted tones creates a harmonious and nostalgic atmosphere.","Soft lighting gently illuminates the figures, creating a delicate balance between light and dark.","The composition is dynamic, leading the eye across the stage and towards the audience.","A theatrical scene unfolds with performers in colorful costumes, set against a subtly detailed background. The stage is alive with figures in varied poses, while an audience peers from boxes, adding to the scene's lively ambiance."
/kaggle/working/Images/Art Nouveau (Modern)/0006521_AnnaOstroumova-Lebedeva-Leningrad.Summergardeninwinter..jpg,Calm,Positive,Low,"The use of cool, muted tones evokes a sense of calmness, with low saturation adding to the serene atmosphere.","The soft distribution of light and shadow highlights the muted colors, providing a gentle contrast that underlines the calm setting.","The composition is dynamic, with leading lines from the fence and river guiding the eye through the scene, offering depth and perspective.","The image portrays a serene winter scene by a riverbank, framed by a snow-laden fence and leafless trees. Soft pastel tones depict the cloudy sky and reflect upon the tranquil waters, embodying a peaceful, quiet atmosphere."
/kaggle/working/Images/Art Nouveau (Modern)/0006544_JuryAnnenkov-RussianBalletIrinaGrzhebina.jpg,Excited,Positive,High,"Warm tones dominate, with rich reds and greens, complemented by cool blues.","Soft light highlights the figures, with gentle transitions.",The dynamic arrangement emphasizes movement and energy.,"The image features a vibrant illustration of dancers in traditional costumes, set against a minimalist backdrop. The energetic poses convey movement, with bold colors emphasizing dynamic motion. Text provides information about a ballet performance."
/kaggle/working/Images/Art Nouveau (Modern)/0006555_LeonBakst-Spectredela Rose.jpg,Calm,Positive,Low,"Monochromatic, with a focus on grayscale tones providing subtle contrast and depth.","Soft shadows emphasize the contours of the figure, enhancing three-dimensionality.","Dynamic, with the figure's extended limbs creating a sense of movement and energy.","The image features a graceful figure striking a dynamic pose, adorned in an intricate costume with bold patterns. The setting is minimal, focusing the viewer's attention entirely on the character's poised and expressive stance."
/kaggle/working/Images/Art Nouveau (Modern)/0006584_KolomanMoser-PicturebookforthenieceofDithaMautnervonMarkhof.jpg,Contentment,Positive,Low,"Warm orange heart contrasts against cool, muted background.","Soft lighting with minimal shadow, emphasizing simplicity.","Minimalist with central focus on the heart, creating balance.","A solitary orange heart floats centrally on a neutral, pale background. Below, a small, handwritten grid contains text, adding an element of subtle intrigue and mystery. The overall atmosphere is minimalist and contemplative."
/kaggle/working/Images/Art Nouveau (Modern)/0006639_AladarKorosfoi-Kriesch-EaglesabovetheHero'sGrave.jpg,Excited,Positive,High,Warm tones with moderate saturation and balanced contrast.,Diffuse light with moderate contrast between light and dark.,Dynamic with a vertical symmetrical focus.,"The artwork presents a tapestry with two majestic birds of prey in a dynamic aerial display, above a stylized cityscape. Warm earth tones dominate, while intricate patterns border the edges. The scene conveys motion and energy."
/kaggle/working/Images/Art Nouveau (Modern)/0006648_RaphaelKirchner-Sun women.jpg,Calm,Positive,Low,"Warm tones with gentle saturation, contrasting black and white stripes with pastel pinks.","Soft lighting enhances facial features, with subtle contrasts between light and dark areas.",Dynamic with central focus; the circular shape and radiating lines create movement and energy.,"The image portrays a woman with soft, dreamy features surrounded by a flowing pattern of black and white stripes emanating from a central circular shape. Delicate pink flowers add a gentle touch amidst the bold design."
/kaggle/working/Images/Art Nouveau (Modern)/0006675_JacekMalczewski-Thanatos.jpg,Contentment,Positive,Low,"A harmonious blend of warm and cool tones, moderate saturation, with gentle contrasts.","Soft natural light bathes the scene, subtle contrasts define forms and textures.","Dynamic, with the woman centrally placed amidst floral elements guiding the gaze.","A captivating rural scene unfolds, a robust woman draped in vivid red facing a quaint wooden house. Fragrant lilac bushes with delicate purple blooms frame the backdrop. A dog lies comfortably near a grounded sickle, and a glimmer of activity spills from an open window."
"/kaggle/working/Images/Art Nouveau (Modern)/0006676_OwenJones-Savagetribes,no.1.jpg",Contentment,Positive,Low,"The patterns utilize warm earthy tones with moderate saturation, creating a harmonious and cohesive visual theme.",The absence of perceived light and shadow focuses attention on the vividness of patterns and colors.,"The symmetrical grid composition provides a structured and orderly layout, ensuring a balanced visual flow.","The image features a collage of geometric patterns arranged in a grid layout. Each pattern boasts unique designs, using bold lines and textured shapes. Earthy tones such as browns, blacks, and whites dominate the visual palette, exuding a tribal aesthetic."
/kaggle/working/Images/Art Nouveau (Modern)/0006699_GustavKlimt-Thedancer.jpg,Excited,Positive,High,"Warm, saturated tones dominate, creating a vivid, lively atmosphere with high contrast.","Soft light highlights her face and form, enhancing subtle contrasts.",Central focus on the woman; dynamic arrangement with intricate patterns.,"A vibrant portrait captures a woman adorned in a richly patterned, colorful garment. Surrounding her are lush, blooming flowers. The background features small figures in unique attire, adding a sense of cultural richness."
/kaggle/working/Images/Art Nouveau (Modern)/0006708_CharlesRobinson-Summer.jpg,Contentment,Positive,Low,"The use of warm and inviting tones, with a blend of cool blues, enhances the soothing mood.","Soft light source with gentle contrasts, forming a dreamy and tranquil atmosphere.","Central focus on the figures, creating a balanced and harmonious composition.","The image displays a woman adorned with floral garlands, carrying a child on her shoulders against a scenic backdrop. Flowing garments, delicate roses, and soft clouds embellish the scene, evoking a sense of serene beauty."
/kaggle/working/Images/Art Nouveau (Modern)/0006740_LeonBakst-LalegendedeJosephPotiphar.jpg,Excited,Positive,High,"Warm and vibrant tones with high saturation, emphasizing richness and luxury.","Soft light accentuates details without harsh shadows, enhancing elegance.","Central focus emphasizes symmetry and balance, drawing attention to the figure.","The image depicts a regal figure draped in elaborate, flowing robes adorned with intricate patterns and bold colors. The character's headdress is elaborate, suggesting authority and elegance, while the background remains minimal, highlighting the central figure."
/kaggle/working/Images/Art Nouveau (Modern)/0006746_KolomanMoser-DraftdrawingsforacabinetintheheadquartersoftheViennaWorkshop.jpg,Calm,Positive,Low,The use of cool tones with light green and black adds a subtle and vintage charm.,"Shadow is minimal, giving it a flat, two-dimensional appearance with soft contrast.","The composition is symmetrical and well-balanced, focusing centrally on the cabinet design.","The image features a sketch of a cabinet with a vintage design, outlined in black and highlighted with light green accents. The doors include intricate, small geometric patterns, and the structure rests on pointed feet."
/kaggle/working/Images/Art Nouveau (Modern)/0006786_TheophileSteinlen-Thesummer-CatOnABalustrade.jpg,Calm,Positive,Low,"Warm tones dominate, with a harmonious blend of gold and brown, exhibiting moderate saturation and gentle contrast.","The lighting is soft, casting delicate shadows that emphasize the cat’s form.","The composition is balanced and stable, with the cat serving as the central focal point.","The image depicts a relaxed cat lounging atop a wooden railing. Its fur exhibits intricate patterns, while its eyes gleam with curiosity. The background features subtle hints of foliage against a warm, golden backdrop, enhancing the serene atmosphere."
/kaggle/working/Images/Art Nouveau (Modern)/0006789_HenrideToulouse-Lautrec-YvetteGuilbert.jpg,Calm,Positive,Low,"Warm tones dominate, with vibrant yellows and deep blacks offering contrast.","Soft, subtle shadows emphasize form and texture.","Dynamic, with a slightly asymmetrical focus on the figure.","A woman in a vibrant yellow gown stands with an air of elegance. Her auburn hair is styled neatly, and long black gloves contrast her dress. The background is a textured blend of greens and browns, adding depth."
/kaggle/working/Images/Art Nouveau (Modern)/0006873_XavierMellery-SuppressionoftheOctroiin1860.jpg,Excited,Positive,High,"Warm tones dominate, with moderate saturation that provides a lively yet historical feel.","Soft lighting with gentle contrast, enhancing the overall warmth and highlighting characters subtly.","Dynamic, with a rich interplay of figures and architecture, drawing the viewer's eye across the scene.","The image portrays a bustling market scene with lively figures in traditional attire. People interact with livestock and carts in a charming historical town setting. The detailed architecture in the background showcases a classic, vibrant ambiance."
/kaggle/working/Images/Art Nouveau (Modern)/0006874_LeonettoCappiello-LaveuseMignon.jpg,Contentment,Positive,Low,"Warm tones dominate, with vivid reds and yellows contrasting against cool blues and greens.","Soft light enhances the figures, while shadows add depth to the background foliage.","The composition is dynamic yet balanced, with the central focus on the mother and child.","The image presents a vintage advertisement featuring a mother nursing her child amid lush greenery. Bold text overlays the scene, and a large washing barrel anchors the foreground. The overall composition exudes nostalgia and warmth."
/kaggle/working/Images/Art Nouveau (Modern)/0006923_ArtušScheiner-IllustrationforZlatéRouno.jpg,Alarmed,Negative,High,"Dominated by cool tones with stark contrasts, enhancing mystical ambiance.","Sharp contrasts create dramatic spotlight effects, highlighting focal points.","Central focus with dynamic positioning, guiding attention through the scene.","The image portrays a mythical scene in a dimly lit forest. A woman in a hooded robe extends her hand toward a large, reptilian creature. In the background, a figure stands amidst glowing trees, adding an ethereal element."
/kaggle/working/Images/Art Nouveau (Modern)/0006940_RaphaelKirchner-Geisha.jpg,Calm,Positive,Low,"Warm tones dominate, with subtle cool contrasts; saturation is soft, enhancing a serene vibe.","Light source is diffuse, with soft shadows and minimal contrast, lending a peaceful glow.","Dynamic yet balanced, with attention focused centrally on the figure.","The image features a delicate and serene scene with a young figure, dressed in traditional attire, sitting atop wooden stilts while fishing. The backdrop is a blend of soft pastel hues, creating a tranquil and harmonious atmosphere."
/kaggle/working/Images/Art Nouveau (Modern)/0007043_PaulRanson-Untitled.jpg,Alarmed,Negative,High,"Dominated by warm tones with high saturation, the orange background creates a striking contrast with the dark silhouettes.","The light source is implied, with sharp contrasts enhancing the drama and depth within the scene.","The composition is dynamic and asymmetrical, with a central focus on the interplay between light and dark areas.","The painting displays a surreal composition with bold, dark silhouettes contrasted against a vivid orange background. Intricate patterns and mysterious figures create an atmosphere of intrigue and enigma, drawing the viewer into its abstract world."
"/kaggle/working/Images/Art Nouveau (Modern)/0007065_LeonBakst-St.Sebastian,fromTheMartyrofSt.Sebastian.jpg",Calm,Positive,Low,Cool monochrome tones enhance the tranquil mood.,"Soft, diffused lighting with subtle contrasts.","Central focus on the bound figure, creating symmetry.","A woman is depicted draped in flowing cloth, bound to a tree with ropes. The monochrome scene is engulfed by dense foliage, creating a somber, serene atmosphere. Her expression is peaceful, contrasting with the binding."
"/kaggle/working/Images/Art Nouveau (Modern)/0007114_HenrideToulouse-Lautrec-TheyWomaninBed,Profile,GettingUp.jpg",Calm,Positive,Low,"Warm tones dominate, with moderate saturation creating a soothing effect.","Soft lighting adds depth, with gentle contrasts.","Balanced, with both figures centrally focused yet dynamically engaged.","The image depicts two figures in dialogue, set within a warmly colored room. The flowing patterns on the floor and walls enhance the intimate atmosphere, while subtle details suggest a narrative of personal interaction."
/kaggle/working/Images/Art Nouveau (Modern)/0007175_EgonSchiele-LandscapeatKrumau.jpg,Excited,Positive,High,"Warm tones dominate, with vivid greens and earthy hues contrasted by vibrant reds and pinks.","Soft light, creating a gentle contrast; shadows emphasize three-dimensionality.","Dynamic, with a central focus on the pink house, leading the eye through the winding river and scattered buildings.","A vibrant landscape portrays an array of colorful houses nestled amidst rolling green hills. The winding river meanders through the scene, bordered by lush foliage, while a striking pink house stands prominent atop the hill, adding a dynamic focal point."
/kaggle/working/Images/Art Nouveau (Modern)/0007176_FelixVallotton-PortraitofFrenchwriterFrancisJammes.jpg,Annoyed,Negative,High,"Predominantly cool tones due to monochrome black and white, with high contrast.",Sharp contrast between black and white; shadows create depth and dimension.,"Central focus, offering a direct and intense engagement with the viewer.","A monochromatic illustration depicts a head with a beard. The eyes are blank, adding a surreal and unsettling quality. Bold outlines define facial features, creating a stark contrast against the white background."
/kaggle/working/Images/Art Nouveau (Modern)/0007190_WilhelmKotarbinski-GoldenCloud.jpg,Calm,Positive,Low,"Muted tones dominate, with soft contrasts, creating a ghostly, cool ambiance.","Soft, diffused light highlights the central figure, enhancing the mystical tone.","Dynamic, with a central focus on the ethereal figure, adding mystery.","The image depicts a mystical scene with a large, shadowy figure behind a gentle, ethereal presence. A small star glimmers above, while fluid, fog-like elements introduce a dreamlike quality. The composition is enigmatic and surreal."
/kaggle/working/Images/Art Nouveau (Modern)/0007195_TomThomson-TheFisherman.jpg,Calm,Positive,Low,"Warm, earthy tones contrast with cool blue waters, moderate saturation.","Soft light highlights rocks, gentle contrasts throughout.",Dynamic with a central focus on the fisher.,"A rugged landscape showcases a figure engaged in fishing by a waterfall. The scene is framed by rocky cliffs and a lively stream. The atmosphere is serene, emphasizing a harmonious connection with nature."
/kaggle/working/Images/Art Nouveau (Modern)/0007198_HarryClarke-TheYear'sattheSpring.jpg,Calm,Positive,Low,"Warm tones dominate with blends of pastel hues, creating a harmonious and soothing palette.","Soft lighting with gentle contrasts, enhancing the dreamlike quality.","Balanced and symmetrical, with the central figure drawing attention amidst framed trees.","The image portrays a serene scene with a robed figure walking near a water body. The environment features lush vegetation and a soft, pastel sky, evoking a sense of tranquility and introspection."
/kaggle/working/Images/Art Nouveau (Modern)/0007332_RaphaelKirchner-Clovers.jpg,Calm,Positive,Low,"Cool tones dominate, with muted greens providing a sense of tranquility.","Gentle light source with minimal contrast, casting soft shadows.","Central focus with a hint of asymmetry, creating visual interest.","A whimsical illustration features a four-leaf clover with a human face, exuding a playful, surreal quality. Encircling the figure are hearts, accentuating the romantic, dreamlike theme. The background is minimal, enhancing the central motif’s prominence."
"/kaggle/working/Images/Art Nouveau (Modern)/0007361_ByamShaw-theCall,AnIllustrationfor'CanadainKhaki'.jpg",Calm,Positive,Low,"Warm tones with moderate saturation, creating a harmonious and inviting feel.","Soft, even lighting with gentle shadowing, emphasizing clarity and cohesion.","Central focus with a balanced arrangement, enhancing the theme of solidarity.","The artwork depicts a group of figures in ornate medieval attire, surrounding a central knight holding a shield. Their garments, adorned with intricate patterns and symbols, suggest themes of unity and heritage, set against a neutral background."
/kaggle/working/Images/Art Nouveau (Modern)/0007460_AubreyBeardsley-ByEdgarAllanPoe.jpg,Frustrated,Negative,High,Cool monochrome tones with stark contrast between black and white.,"Sharp contrast, highlighting facial features and expressions.","Central focus, symmetrical in orientation.","The image is a monochrome illustration of a man with a piercing gaze and distinctive hair, dressed in formal attire. The strong lines capture emotional intensity, contrasting sharply with the plain background."
/kaggle/working/Images/Art Nouveau (Modern)/0007472_RaphaelKirchner-Eve.jpg,Calm,Positive,Low,"Cool tones dominate, with subdued saturation enhancing calmness.","Soft lighting highlights subtleties, with minimal contrast.",Central focus with a harmonious design emphasizes symmetry.,"The artwork depicts a serene scene in soft, muted tones. A figure rests by the water's edge, reflected in the calm surface. Surrounding foliage adds an organic frame, enhancing the tranquil atmosphere."
/kaggle/working/Images/Art Nouveau (Modern)/0007473_TheophileSteinlen-LeGueux.jpg,Sad,Negative,Low,"Warm earthy tones with low saturation, enhancing the somber feel.","Soft lighting with gentle contrasts, enhancing the wistful atmosphere.","Symmetrical, focusing attention on the figures and the window display.","The image depicts a somber scene of two figures, possibly a parent and child, standing before a bakery window. The child looks toward the bread inside, highlighting a theme of longing. The colors are subdued, reflecting the poignant mood."
/kaggle/working/Images/Art Nouveau (Modern)/0007511_GustavKlimt-DesignfortheStocletFrieze.Knight.jpg,Contentment,Positive,Low,"Warm tones dominate, with rich gold, earthy browns, and bright accents, creating high contrast and saturation.","Subtle lighting enhances the golden tones, with soft shadows adding depth.","Symmetrical and centralized, guiding the eye along vertical lines.","The artwork is a mesmerizing tapestry of geometric patterns and swirling motifs. Vibrant rectangles, circles, and spirals populate the canvas, creating a harmonious fusion of symmetry and complexity against a golden background."
/kaggle/working/Images/Art Nouveau (Modern)/0007523_FrancesMacdonald-Spring.jpg,Calm,Positive,Low,"Soft and muted tones dominate, with cool blues and purples, and gentle contrasts.",Soft shadows and even lighting highlight the figures without harsh contrasts.,"The symmetrical composition centers on the mirrored figures, enhancing balance.","The image depicts two symmetrical figures in flowing garments, surrounded by floral motifs. Their serene expressions and mirror-like positioning create a harmonious and balanced composition. The intertwining vines and muted palette evoke a sense of tranquility and unity."
/kaggle/working/Images/Art Nouveau (Modern)/0007567_SergeySolomko-ApraxiaKorolevichna.jpg,Calm,Positive,Low,"Warm tones with rich reds and golds, enhanced by cool blues and greens, creating a balanced contrast.","Soft light highlights the figure, providing gentle contrast and depth without harsh shadows.","Central focus on the seated figure and the book, symmetrical elements enhancing calmness.","A regal figure sits elegantly, adorned in intricate robes and a crown, deeply absorbed in a large tome resting on a decorative stand. An ornate chest complements the scene, reflecting historical richness and a contemplative atmosphere."
/kaggle/working/Images/Art Nouveau (Modern)/0007573_IvanBilibin-IllustrationfortheRussianFairyStoryWhiteduck.jpg,Calm,Positive,Low,"Warm and cool tones blend seamlessly, with moderate saturation and subtle contrast.","Soft light with gentle contrast, creating a serene atmosphere.","Balanced and dynamic, directing focus between the figure and the seascape.","The image portrays a vivid, storybook-like scene. A person stands on a lavishly decorated balcony, overlooking a fleet of ships in a deep blue sea. The architecture and foliage add richness to the composition."
/kaggle/working/Images/Art Nouveau (Modern)/0007598_SergeySolomko-Forevertogether.jpg,Contentment,Positive,Low,"Warm tones dominate, with golden hues and soft contrasts enhancing intimacy.","Gentle light source, producing subtle contrasts, enhancing softness.","Central focus, emphasizing the couple, creating harmony and balance.","The image portrays a romantic couple in a tender embrace under leafy branches. Their expressions reflect joy and closeness, adorned in ornate, period attire with golden embellishments, against a soft, muted background."
/kaggle/working/Images/Art Nouveau (Modern)/0007607_GerdaWegener-TheWingsareSewnonthePartyDress.jpg,Calm,Positive,Low,"Muted cool tones with warm highlights, soft saturation, gentle contrast.",Soft light source from candle creates subtle shadows.,"Symmetrical, focusing centrally on the figures and mirror.","The image depicts an elegant ballroom scene with two figures, one in a detailed gown and the other in a costume, near a mirror framed by soft, muted colors. A candle adds a warm glow."
/kaggle/working/Images/Art Nouveau (Modern)/0007652_AlexandreBenois-DrummerofaPuppetry.jpg,Calm,Positive,Low,"The use of vivid blues and reds creates a cool yet vibrant contrast, with moderate saturation.","Soft shadows are present, suggesting a gentle light source illuminating from above.","The composition is central focused, drawing attention directly to the figure.","The image depicts a solitary figure draped in a striking blue coat, holding a decorative drum. The attire is accented with a peaked hat and a white shoulder strap, set against a plain background."
/kaggle/working/Images/Art Nouveau (Modern)/0007658_KolomanMoser-Threewomensquatting.jpg,Sad,Negative,Low,"Cool tones dominate, with subtle warm highlights, creating an intriguing contrast and depth.","The light source is ambiguous, casting soft shadows that blend seamlessly into the forms.","The composition is dynamic, with figures arranged in an interconnected, cyclical pattern.","The painting features three figures in contorted positions, rendered in muted tones of yellow and blue. Their forms are angular and abstract, creating a sense of tension and introspection within a surreal landscape."
/kaggle/working/Images/Art Nouveau (Modern)/0007707_RaphaelKirchner-ModernGirls.jpg,Contentment,Positive,Low,"Warm tones dominate, with soft yellows and gentle pastels, providing a harmonious and serene ambiance.","The light source is soft, creating subtle contrasts and gentle shadows that enhance the image's tender mood.","The composition is balanced and central, focusing on the woman as the primary subject amidst soft floral elements.","The image portrays a woman elegantly dressed in a light, flowing yellow gown and a matching wide-brimmed hat adorned with a pink rose. Her soft smile is set against a pale, minimalist background with floral accents below."
